Filename: testdata6.txt
sagittas: 1
fidus: 1
tela: 2
gerebat: 1
ductoresque: 1
capita: 1
alta: 4
ferentis: 1
cornibus: 1
arboreis: 1
sternit: 1
190: 1
miscet: 1
telis: 1
nemora: 1
frondea: 1
turbam: 1
prius: 2
absistit: 1
ingentia: 2
victor: 2
fundat: 1
humi: 1
numerum: 1
aequet: 1
socios: 3
partitur: 1
vina: 2
bonus: 1
deinde: 2
cadis: 1
onerarat: 1
acestes: 2
195: 1
trinacrio: 1
dederatque: 2
abeuntibus: 1
heros: 1
dividit: 1
maerentia: 1
mulcet: 1
socii—neque: 1
ignari: 2
sumus: 1
malorum—: 1
passi: 1
graviora: 1
dabit: 3
deus: 2
finem: 2
scyllaeam: 1
rabiem: 1
penitusque: 3
sonantis: 1
200: 1
accestis: 1
scopulos: 1
cyclopea: 1
experti: 1
revocate: 1
maestumque: 1
timorem: 2
mittite: 1
forsan: 1
meminisse: 2
iuvabit: 1
varios: 1
casus: 3
discrimina: 1
tendimus: 1
latium: 1
sedes: 1
fata: 6
quietas: 1
205: 1
ostendunt: 1
illic: 1
regna: 5
resurgere: 1
durate: 1
vosmet: 1
rebus: 2
servate: 1
secundis: 1
curisque: 1
ingentibus: 1
aeger: 1
spem: 1
voltu: 2
simulat: 1
dolorem: 1
praedae: 1
accingunt: 1
dapibusque: 1
futuris: 3
210: 1
tergora: 1
deripiunt: 1
costis: 1
viscera: 1
nudant: 1
pars: 3
frusta: 1
secant: 1
veribusque: 1
trementia: 1
figunt: 1
aena: 1
locant: 2
alii: 4
flammasque: 1
ministrant: 1
victu: 2
revocant: 1
vires: 2
fusique: 1
herbam: 1
implentur: 1
veteris: 1
bacchi: 1
pinguisque: 1
ferinae: 1
215: 1
exempta: 1
fames: 1
mensaeque: 2
remotae: 2
amissos: 1
sermone: 2
requirunt: 1
spemque: 1
metumque: 1
dubii: 1
seu: 2
vivere: 1
credant: 1
sive: 2
extrema: 2
pati: 1
exaudire: 1
vocatos: 1
praecipue: 2
pius: 3
nunc: 14
acris: 2
oronti: 1
220: 1
amyci: 1
casum: 1
gemit: 1
crudelia: 1
lyci: 1
fortemque: 5
gyan: 2
cloanthum: 3
finis: 3
iuppiter: 3
aethere: 1
despiciens: 1
mare: 4
velivolum: 1
terrasque: 2
iacentis: 1
litoraque: 1
latos: 1
populos: 1
caeli: 3
225: 1
defixit: 1
lumina: 1
regnis: 2
talis: 2
iactantem: 1
curas: 2
tristior: 1
lacrimis: 1
suffusa: 1
nitentis: 1
adloquitur: 2
venus: 7
res: 6
hominumque: 2
deumque: 1
aeternis: 1
regis: 1
imperiis: 1
fulmine: 1
terres: 1
230: 1
meus: 1
committere: 1
tantum: 2
potuere: 1
funera: 1
passis: 2
terrarum: 1
clauditur: 1
orbis: 3
certe: 1
romanos: 2
volventibus: 1
annis: 1
fore: 2
ductores: 1
revocato: 1
teucri: 2
235: 1
dicione: 2
tenerent: 1
pollicitus: 1
sententia: 3
vertit: 2
equidem: 4
occasum: 1
tristisque: 1
ruinas: 1
solabar: 1
contraria: 1
rependens: 1
eadem: 1
fortuna: 4
viros: 2
casibus: 2
actos: 1
240: 1
magne: 1
laborum: 2
antenor: 1
elapsus: 1
achivis: 2
illyricos: 1
penetrare: 1
intima: 1
tutus: 1
liburnorum: 1
fontem: 1
superare: 1
timavi: 1
novem: 1
245: 1
it: 1
proruptum: 1
arva: 2
sonanti: 1
tamen: 2
patavi: 1
sedesque: 3
locavit: 2
genti: 1
nomen: 3
armaque: 2
fixit: 1
placida: 1
compostus: 1
pace: 1
quiescit: 1
nos: 5
tua: 2
progenies: 1
adnuis: 1
arcem: 3
250: 1
infandum: 1
amissis: 2
iram: 1
prodimur: 1
italis: 1
longe: 1
disiungimur: 1
oris: 7
pietatis: 1
honos: 2
reponis: 1
olli: 1
subridens: 1
sator: 1
deorum: 1
quo: 7
serenat: 1
255: 1
oscula: 2
libavit: 2
natae: 1
parce: 2
metu: 2
cytherea: 2
manent: 1
immota: 1
tuorum: 3
cernes: 1
promissa: 1
lavini: 2
sublimemque: 1
feres: 1
magnanimum: 1
aenean: 3
neque: 5
me: 5
260: 1
fabor: 1
quando: 1
cura: 5
remordet: 1
longius: 1
volvens: 2
fatorum: 1
arcana: 1
movebo: 1
bellum: 1
geret: 1
populosque: 1
feroces: 1
contundet: 1
moresque: 1
ponet: 1
tertia: 1
latio: 1
regnantem: 1
viderit: 1
aestas: 2
265: 1
ternaque: 1
transierint: 1
rutulis: 1
hiberna: 1
subactis: 1
at: 9
puer: 4
ascanius: 1
cui: 5
cognomen: 1
iulo: 2
additur—ilus: 1
stetit: 1
ilia: 2
regno—: 1
triginta: 1
magnos: 2
volvendis: 1
mensibus: 1
explebit: 1
regnumque: 1
sede: 2
270: 1
transferet: 1
longam: 2
vi: 1
muniet: 1
albam: 1
centum: 5
totos: 1
regnabitur: 1
hectorea: 1
donec: 1
sacerdos: 1
marte: 1
gravis: 1
geminam: 1
partu: 1
prolem: 1
inde: 1
lupae: 1
fulvo: 1
nutricis: 1
tegmine: 2
laetus: 2
275: 1
romulus: 1
excipiet: 1
mavortia: 1
condet: 1
romanosque: 1
suo: 1
de: 4
nomine: 3
dicet: 1
metas: 1
tempora: 1
pono: 1
fine: 1
dedi: 1
quin: 1
aspera: 2
fatigat: 2
280: 1
consilia: 2
melius: 2
referet: 1
mecumque: 1
fovebit: 1
dominos: 1
gentemque: 1
togatam: 1
placitum: 1
veniet: 1
lustris: 1
labentibus: 1
aetas: 1
assaraci: 1
phthiam: 1
clarasque: 1
mycenas: 1
servitio: 1
premet: 1
victis: 2
dominabitur: 1
argis: 1
285: 1
nascetur: 1
troianus: 1
origine: 4
caesar: 1
oceano: 2
famam: 1
terminet: 1
astris—: 1
iulius: 1
demissum: 1
hunc: 5
caelo: 3
spoliis: 1
orientis: 1
onustum: 1
accipies: 1
secura: 1
vocabitur: 1
votis: 1
290: 1
positis: 1
mitescent: 1
saecula: 3
bellis: 1
cana: 1
fides: 1
vesta: 1
remo: 1
fratre: 1
quirinus: 1
iura: 4
dabunt: 1
dirae: 1
ferro: 5
artis: 1
claudentur: 1
belli: 2
portae: 1
furor: 2
impius: 2
saeva: 1
sedens: 1
vinctus: 1
aenis: 2
295: 1
tergum: 1
nodis: 1
fremet: 1
horridus: 1
ore: 4
cruento: 1
maia: 1
genitum: 1
demittit: 1
terrae: 2
utque: 2
novae: 2
pateant: 1
karthaginis: 2
arces: 2
hospitio: 2
teucris: 1
ne: 4
fati: 1
nescia: 1
dido: 13
finibus: 2
arceret: 1
volat: 1
aera: 1
magnum: 3
300: 1
remigio: 1
alarum: 1
citus: 1
adstitit: 1
facit: 1
ponuntque: 1
ferocia: 1
poeni: 3
corda: 2
volente: 1
deo: 2
primis: 1
quietum: 1
accipit: 1
teucros: 2
animum: 3
mentemque: 1
benignam: 1
noctem: 5
plurima: 1
305: 1
lux: 1
alma: 2
exire: 1
locosque: 1
novos: 1
quas: 1
accesserit: 1
teneant: 1
nam: 5
inculta: 1
hominesne: 1
feraene: 1
quaerere: 1
constituit: 1
sociisque: 1
exacta: 1
referre: 1
convexo: 1
nemorum: 1
rupe: 1
cavata: 1
310: 1
arboribus: 1
clausam: 1
horrentibus: 1
umbris: 2
occulit: 1
uno: 2
graditur: 1
comitatus: 1
achate: 3
bina: 1
lato: 1
crispans: 1
hastilia: 1
mater: 1
media: 3
tulit: 2
obvia: 1
silva: 1
virginis: 2
os: 2
habitumque: 1
gerens: 1
315: 1
spartanae: 1
vel: 2
qualis: 3
threissa: 1
harpalyce: 1
volucremque: 1
fuga: 1
praevertitur: 1
hebrum: 1
umeris: 1
more: 1
habilem: 1
suspenderat: 1
arcum: 1
venatrix: 1
comam: 1
diffundere: 1
nuda: 1
genu: 1
nodoque: 1
collecta: 1
fluentis: 1
320: 1
prior: 2
heus: 1
inquit: 3
iuvenes: 2
monstrate: 1
mearum: 1
vidistis: 1
errantem: 3
sororum: 1
succinctam: 1
pharetra: 1
maculosae: 1
lyncis: 1
spumantis: 1
apri: 1
cursum: 1
clamore: 2
prementem: 1
veneris: 1
filius: 2
orsus: 1
325: 1
nulla: 1
tuarum: 1
audita: 1
visa: 1
sororum—: 1
virgo: 2
haud: 5
voltus: 3
mortalis: 1
vox: 1
hominem: 1
sonat: 1
certe—: 1
an: 2
phoebi: 1
sanguinis: 1
una—: 1
sis: 1
felix: 1
nostrumque: 1
leves: 1
quaecumque: 1
laborem: 3
330: 1
tandem: 2
iactemur: 1
doceas: 1
locorumque: 1
erramus: 1
vastis: 1
acti: 1
aras: 3
nostra: 1
cadet: 1
hostia: 1
tali: 2
dignor: 1
honore: 1
335: 1
virginibus: 1
tyriis: 2
mos: 1
gestare: 1
pharetram: 2
purpureoque: 1
alte: 2
suras: 1
vincire: 1
cothurno: 1
punica: 1
vides: 2
tyrios: 1
agenoris: 1
fines: 1
libyci: 1
intractabile: 1
bello: 3
tyria: 2
urbe: 4
profecta: 1
340: 1
germanum: 1
fugiens: 2
longa: 1
iniuria: 1
longae: 1
ambages: 1
sequar: 1
fastigia: 2
huic: 2
sychaeus: 1
ditissimus: 1
agri: 1
phoenicum: 1
miserae: 2
dilectus: 1
intactam: 1
dederat: 1
primisque: 1
iugarat: 1
345: 1
ominibus: 1
tyri: 1
germanus: 1
habebat: 1
pygmalion: 1
scelere: 1
alios: 3
immanior: 1
medius: 1
sychaeum: 2
auri: 2
caecus: 1
clam: 1
incautum: 1
superat: 1
securus: 1
amorum: 1
350: 1
germanae: 1
factumque: 1
diu: 1
celavit: 1
aegram: 1
malus: 1
simulans: 1
vana: 1
spe: 1
lusit: 1
amantem: 1
somnis: 1
inhumati: 1
imago: 1
coniugis: 1
modis: 1
attollens: 1
pallida: 1
miris: 1
crudeles: 1
traiectaque: 1
355: 1
nudavit: 1
caecumque: 1
scelus: 1
omne: 1
retexit: 1
celerare: 1
patriaque: 1
excedere: 1
suadet: 1
auxiliumque: 1
viae: 1
veteres: 1
tellure: 1
recludit: 1
thesauros: 1
ignotum: 1
argenti: 1
pondus: 1
commota: 1
sociosque: 2
parabat: 1
360: 1
conveniunt: 2
odium: 1
crudele: 1
tyranni: 1
metus: 3
acer: 1
paratae: 1
corripiunt: 1
onerantque: 1
auro: 5
portantur: 1
avari: 1
pygmalionis: 1
opes: 1
dux: 1
femina: 1
facti: 2
devenere: 1
locos: 1
cernis: 1
365: 1
surgentemque: 1
mercatique: 1
solum: 1
byrsam: 1
taurino: 1
quantum: 1
possent: 1
circumdare: 1
venistis: 1
quove: 1
tenetis: 1
iter: 1
quaerenti: 1
370: 1
suspirans: 1
imoque: 1
trahens: 1
vocem: 1
prima: 3
repetens: 1
pergam: 1
vacet: 1
annalis: 1
nostrorum: 1
audire: 2
diem: 2
componat: 1
vesper: 1
olympo: 1
antiqua: 4
auris: 1
375: 1
iit: 1
diversa: 1
vectos: 1
sua: 2
libycis: 2
tempestas: 1
adpulit: 1
sum: 1
raptos: 1
hoste: 1
classe: 1
veho: 1
mecum: 3
fama: 4
aethera: 2
quaero: 1
iove: 1
380: 1
denis: 1
phrygium: 1
conscendi: 1
matre: 1
monstrante: 1
viam: 2
secutus: 2
convolsae: 1
euroque: 1
supersunt: 1
ignotus: 1
egens: 1
deserta: 1
peragro: 1
europa: 1
asia: 1
pulsus: 1
plura: 1
querentem: 1
385: 1
passa: 1
medio: 2
interfata: 1
dolore: 2
quisquis: 1
es: 1
credo: 1
invisus: 1
vitalis: 1
carpis: 1
tyriam: 1
adveneris: 1
perge: 2
modo: 2
reginae: 1
limina: 3
perfer: 1
reduces: 2
classemque: 1
relatam: 1
390: 1
nuntio: 1
tutum: 1
versis: 1
aquilonibus: 1
actam: 1
frustra: 1
augurium: 1
vani: 1
docuere: 1
parentes: 2
aspice: 2
senos: 1
laetantis: 1
cycnos: 1
aetheria: 2
lapsa: 1
plaga: 1
ales: 1
turbabat: 1
ordine: 3
395: 1
capere: 2
captas: 1
despectare: 1
videntur: 2
ludunt: 1
stridentibus: 1
alis: 1
coetu: 1
cinxere: 1
polum: 1
cantusque: 1
dedere: 1
aliter: 1
puppesque: 1
tuae: 1
pubesque: 1
pleno: 2
ostia: 1
velo: 1
400: 1
ducit: 3
via: 1
dirige: 1
gressum: 1
dixit: 2
avertens: 1
rosea: 1
cervice: 1
refulsit: 2
ambrosiaeque: 1
comae: 1
divinum: 1
odorem: 1
spiravere: 1
pedes: 1
vestis: 1
defluxit: 1
imos: 1
vera: 1
incessu: 1
patuit: 1
matrem: 1
405: 1
adgnovit: 2
fugientem: 1
natum: 1
totiens: 1
crudelis: 1
falsis: 1
ludis: 1
imaginibus: 1
cur: 1
dextrae: 1
iungere: 1
dextram: 1
datur: 2
veras: 1
reddere: 1
voces: 1
incusat: 1
gressumque: 1
tendit: 1
410: 1
obscuro: 1
gradientes: 1
saepsit: 1
multo: 1
nebulae: 1
fudit: 1
amictu: 1
cernere: 1
eos: 1
neu: 1
contingere: 1
posset: 1
molirive: 1
moram: 1
veniendi: 1
poscere: 1
causas: 1
paphum: 1
sublimis: 1
abit: 1
revisit: 1
415: 1
laeta: 4
suas: 1
templum: 5
centumque: 1
sabaeo: 1
ture: 1
calent: 1
arae: 1
sertisque: 1
recentibus: 1
